Instance,UB,ObjValue,ExecutionTime,GAP,Group
VFR20_5_9_Gap,1317,1367,1.088242054,3.796507213,Small
VFR300_20_10_Gap,16899,19056,12.70533204,12.76406888,Large
VFR300_20_1_Gap,16149,18601,12.85199404,15.1836027,Large
VFR300_20_2_Gap,16512,18796,12.64464211,13.83236434,Large
VFR300_20_3_Gap,16173,18806,13.39784813,16.28022012,Large
VFR300_20_4_Gap,16181,18635,12.63703704,15.16593536,Large
VFR300_20_5_Gap,16342,18923,12.99481893,15.79366051,Large
VFR300_20_6_Gap,16137,18881,12.64276195,17.00439983,Large
VFR300_20_7_Gap,16266,18727,12.73061299,15.12971843,Large
VFR300_20_8_Gap,16416,18857,12.16411495,14.86963938,Large
VFR300_20_9_Gap,16376,18834,12.52375579,15.0097704,Large
VFR300_40_10_Gap,18401,21382,24.14379787,16.20020651,Large
VFR300_40_1_Gap,18298,21554,25.05534101,17.79429446,Large
VFR300_40_2_Gap,18454,21687,24.13688612,17.51923702,Large
VFR300_40_3_Gap,18457,21587,23.41515493,16.95833559,Large
VFR300_40_4_Gap,18351,21527,23.60865903,17.30695875,Large
VFR300_40_5_Gap,18484,21650,24.0731802,17.1283272,Large
VFR300_40_6_Gap,18449,21312,24.07465696,15.51845628,Large
VFR300_40_7_Gap,18419,21614,24.05000401,17.34621858,Large
VFR300_40_8_Gap,18392,21539,25.18261719,17.1107003,Large
VFR300_40_9_Gap,18394,21345,24.43407083,16.04327498,Large
VFR300_60_10_Gap,20472,23709,35.73316097,15.81184056,Large
VFR300_60_1_Gap,20522,23722,35.08060384,15.59302212,Large
VFR300_60_2_Gap,20399,23694,36.87610221,16.15275259,Large
VFR300_60_3_Gap,20434,23800,35.84178805,16.47254576,Large
VFR300_60_4_Gap,20395,23798,34.92328978,16.68546212,Large
VFR300_60_5_Gap,20341,23550,35.79946113,15.77601888,Large
VFR300_60_6_Gap,20388,23642,35.75747585,15.96036884,Large
VFR300_60_7_Gap,20457,23559,35.16034698,15.16351371,Large
VFR300_60_8_Gap,20410,23686,35.84158635,16.05095541,Large
VFR300_60_9_Gap,20549,23787,35.81383204,15.75745778,Large
VFR30_10_10_Gap,1915,2248,1.178135633,17.38903394,Small
VFR30_10_1_Gap,1944,2291,1.310299158,17.84979424,Small
VFR30_10_2_Gap,2098,2404,1.221045017,14.58531935,Small
VFR30_10_3_Gap,2077,2357,1.224285841,13.48098219,Small
